,Unnamed: 0_x,Session_ID,Item_ID,Unnamed: 0.1_x,Index,FirstClick,LastClick,TimeFirstLast,Unnamed: 0_y,TotalTimeItem,Unnamed: 0_x,Timestamp,MaxClicks,RelativeClicks,Unnamed: 0_y,No_of_Appearances_x,Unnamed: 0_x,Unnamed: 0.1_y,No_of_Appearances_y,Max_Click_Session,Relative_Clicks,Unnamed: 0_y,Unnamed: 0.1,No_of_Appearances,I_Temp,S_Temp,Avg,ClicksPerAvg
18,18,220,214716939,109,158,0,1,0.0,18,0.0,18,1,2,0.5,18,1,18,18,1,2,0.5,18,18,1,11,13,1.18181818182,0.846153846154
19,19,220,214717005,107,156,0,0,0.0,19,0.0,19,1,2,0.5,19,1,19,19,1,2,0.5,19,19,1,11,13,1.18181818182,0.846153846154
20,20,220,214717007,108,157,0,0,1.748,20,0.0,20,2,2,1.0,20,2,20,20,2,2,1.0,20,20,2,11,13,1.18181818182,1.69230769231
21,21,220,214819378,100,149,0,0,2.13896666667,21,0.0,21,2,2,1.0,21,2,21,21,2,2,1.0,21,21,2,11,13,1.18181818182,1.69230769231
22,22,220,214821022,101,150,0,0,0.0,22,0.0,22,1,2,0.5,22,1,22,22,1,2,0.5,22,22,1,11,13,1.18181818182,0.846153846154
23,23,220,214821371,97,146,1,0,0.0,23,0.0,23,1,2,0.5,23,1,23,23,1,2,0.5,23,23,1,11,13,1.18181818182,0.846153846154
24,24,220,214826715,102,151,0,0,0.0,24,0.0,24,1,2,0.5,24,1,24,24,1,2,0.5,24,24,1,11,13,1.18181818182,0.846153846154
25,25,220,214832653,105,154,0,0,0.0,25,0.0,25,1,2,0.5,25,1,25,25,1,2,0.5,25,25,1,11,13,1.18181818182,0.846153846154
26,26,220,214840378,103,152,0,0,0.0,26,0.0,26,1,2,0.5,26,1,26,26,1,2,0.5,26,26,1,11,13,1.18181818182,0.846153846154
27,27,230,214821020,130,179,1,1,5.04966666667,27,0.0,27,5,5,1.0,27,5,27,27,5,5,1.0,27,27,5,1,5,5.0,1.0
28,28,245,214716928,144,193,0,1,0.0,28,0.0,28,1,3,0.333333333333,28,1,28,28,1,3,0.333333333333,28,28,1,5,7,1.4,0.714285714286
29,29,245,214716937,139,188,0,0,0.0,29,0.0,29,1,3,0.333333333333,29,1,29,29,1,3,0.333333333333,29,29,1,5,7,1.4,0.714285714286
30,30,245,214716939,140,189,0,0,0.0,30,0.0,30,1,3,0.333333333333,30,1,30,30,1,3,0.333333333333,30,30,1,5,7,1.4,0.714285714286
31,31,245,214716973,143,192,1,0,3.91793333333,31,0.0,31,3,3,1.0,31,3,31,31,3,3,1.0,31,31,3,5,7,1.4,2.14285714286
32,32,245,214716977,141,190,0,0,0.0,32,0.0,32,1,3,0.333333333333,32,1,32,32,1,3,0.333333333333,32,32,1,5,7,1.4,0.714285714286
33,33,275,214551911,150,199,1,1,11.7657833333,33,0.0,33,4,4,1.0,33,4,33,33,4,4,1.0,33,33,4,1,4,4.0,1.0
34,34,280,214607212,154,203,1,1,0.4073,34,0.0,34,4,4,1.0,34,4,34,34,4,4,1.0,34,34,4,1,4,4.0,1.0
35,35,295,214509000,182,231,1,1,4.21376666667,35,0.0,35,5,5,1.0,35,5,35,35,5,5,1.0,35,35,5,2,7,3.5,1.42857142857
36,36,295,214601049,179,228,0,0,0.597966666667,36,0.0,36,2,5,0.4,36,2,36,36,2,5,0.4,36,36,2,2,7,3.5,0.571428571429
37,37,310,214717888,171,220,0,1,1.21705,37,0.0,37,3,3,1.0,37,3,37,37,3,3,1.0,37,37,3,3,7,2.33333333333,1.28571428571
38,38,310,214819552,166,215,1,0,0.760766666667,38,0.0,38,2,3,0.666666666667,38,2,38,38,2,3,0.666666666667,38,38,2,3,7,2.33333333333,0.857142857143
39,39,310,214832557,170,219,0,0,0.861283333333,39,0.0,39,2,3,0.666666666667,39,2,39,39,2,3,0.666666666667,39,39,2,3,7,2.33333333333,0.857142857143
40,40,345,214718169,192,241,0,0,0.0,40,0.0,40,1,3,0.333333333333,40,1,40,40,1,3,0.333333333333,40,40,1,4,6,1.5,0.666666666667
41,41,345,214819427,188,237,1,0,0.0,41,0.0,41,1,3,0.333333333333,41,1,41,41,1,3,0.333333333333,41,41,1,4,6,1.5,0.666666666667
42,42,345,214821022,193,242,0,1,1.32058333333,42,0.0,42,3,3,1.0,42,3,42,42,3,3,1.0,42,42,3,4,6,1.5,2.0
43,43,345,214821024,190,239,0,0,0.0,43,0.0,43,1,3,0.333333333333,43,1,43,43,1,3,0.333333333333,43,43,1,4,6,1.5,0.666666666667
44,44,390,214685805,257,306,1,1,172.86955,44,0.0,44,16,16,1.0,44,16,44,44,16,16,1.0,44,44,16,1,16,16.0,1.0
45,45,395,214718203,240,289,1,1,19.3975666667,45,0.0,45,7,7,1.0,45,7,45,45,7,7,1.0,45,45,7,1,7,7.0,1.0
46,46,435,214840412,265,314,1,1,6.04055,46,0.0,46,3,3,1.0,46,3,46,46,3,3,1.0,46,46,3,1,3,3.0,1.0
47,47,455,214530457,295,344,0,1,0.0,47,0.0,47,1,2,0.5,47,1,47,47,1,2,0.5,47,47,1,9,11,1.22222222222,0.818181818182
48,48,455,214551890,290,339,1,0,2.24666666667,48,0.0,48,2,2,1.0,48,2,48,48,2,2,1.0,48,48,2,9,11,1.22222222222,1.63636363636
49,49,455,214551894,288,337,0,0,0.290916666667,49,0.0,49,2,2,1.0,49,2,49,49,2,2,1.0,49,49,2,9,11,1.22222222222,1.63636363636
50,50,455,214568090,286,335,0,0,0.0,50,0.0,50,1,2,0.5,50,1,50,50,1,2,0.5,50,50,1,9,11,1.22222222222,0.818181818182
51,51,455,214716973,293,342,0,0,0.0,51,0.0,51,1,2,0.5,51,1,51,51,1,2,0.5,51,51,1,9,11,1.22222222222,0.818181818182
52,52,455,214717007,291,340,0,0,0.0,52,0.0,52,1,2,0.5,52,1,52,52,1,2,0.5,52,52,1,9,11,1.22222222222,0.818181818182
53,53,455,214829741,289,338,0,0,0.0,53,0.0,53,1,2,0.5,53,1,53,53,1,2,0.5,53,53,1,9,11,1.22222222222,0.818181818182
54,54,455,214832653,292,341,0,0,0.0,54,0.0,54,1,2,0.5,54,1,54,54,1,2,0.5,54,54,1,9,11,1.22222222222,0.818181818182
55,55,455,214838368,294,343,0,0,0.0,55,0.0,55,1,2,0.5,55,1,55,55,1,2,0.5,55,55,1,9,11,1.22222222222,0.818181818182
