,Index,Session_ID,Timestamp,Item_ID,Category,Buy
178,227,295,2014-04-01T15:21:59.867Z,214601049,0,0
179,228,295,2014-04-01T15:22:35.745Z,214601049,0,0
180,229,295,2014-04-01T15:22:38.539Z,214509000,0,0
181,230,295,2014-04-01T15:23:38.380Z,214509000,0,0
182,231,295,2014-04-01T15:24:09.189Z,214509000,0,0
188,237,345,2014-04-02T11:15:58.372Z,214819427,0,0
189,238,345,2014-04-02T11:17:09.222Z,214821022,0,0
190,239,345,2014-04-02T11:17:41.849Z,214821024,0,0
191,240,345,2014-04-02T11:17:55.456Z,214821022,0,0
192,241,345,2014-04-02T11:18:21.034Z,214718169,0,0
193,242,345,2014-04-02T11:18:28.457Z,214821022,0,0
234,283,395,2014-04-03T11:32:18.968Z,214718203,0,0
235,284,395,2014-04-03T11:36:03.858Z,214718203,0,0
236,285,395,2014-04-03T11:37:32.206Z,214718203,0,0
237,286,395,2014-04-03T11:44:48.663Z,214718203,0,0
238,287,395,2014-04-03T11:45:01.820Z,214718203,0,0
239,288,395,2014-04-03T11:50:29.528Z,214718203,0,0
240,289,395,2014-04-03T11:51:42.822Z,214718203,0,0
242,291,390,2014-04-02T23:14:10.611Z,214685805,0,0
243,292,390,2014-04-02T23:24:17.785Z,214685805,0,0
244,293,390,2014-04-02T23:34:26.442Z,214685805,0,0
245,294,390,2014-04-02T23:44:33.311Z,214685805,0,0
246,295,390,2014-04-02T23:54:41.141Z,214685805,0,0
247,296,390,2014-04-03T00:04:49.398Z,214685805,0,0
248,297,390,2014-04-03T00:15:00.134Z,214685805,0,0
249,298,390,2014-04-03T00:25:18.180Z,214685805,0,0
250,299,390,2014-04-03T00:35:27.412Z,214685805,0,0
251,300,390,2014-04-03T00:55:51.837Z,214685805,0,0
252,301,390,2014-04-03T01:06:01.769Z,214685805,0,0
253,302,390,2014-04-03T01:26:21.328Z,214685805,0,0
254,303,390,2014-04-03T01:36:30.577Z,214685805,0,0
255,304,390,2014-04-03T01:46:42.980Z,214685805,0,0
256,305,390,2014-04-03T01:56:51.811Z,214685805,0,0
257,306,390,2014-04-03T02:07:02.784Z,214685805,0,0
263,312,435,2014-04-07T07:11:44.490Z,214840412,0,0
264,313,435,2014-04-07T07:12:02.946Z,214840412,0,0
265,314,435,2014-04-07T07:17:46.923Z,214840412,0,0
285,334,455,2014-04-01T16:15:03.785Z,214551890,0,0
286,335,455,2014-04-01T16:15:59.398Z,214568090,0,0
287,336,455,2014-04-01T16:16:19.059Z,214551894,0,0
288,337,455,2014-04-01T16:16:36.514Z,214551894,0,0
289,338,455,2014-04-01T16:16:45.101Z,214829741,0,0
290,339,455,2014-04-01T16:17:18.585Z,214551890,0,0
291,340,455,2014-04-01T16:20:32.440Z,214717007,0,0
292,341,455,2014-04-01T16:22:09.753Z,214832653,0,0
293,342,455,2014-04-01T16:22:50.984Z,214716973,0,0
294,343,455,2014-04-01T16:23:27.937Z,214838368,0,0
295,344,455,2014-04-01T16:23:46.744Z,214530457,0,0
