,Session_ID,Clicks,Month,Day_Of_Month,Day_Of_Week,Time_Of_Day,BuyOrNot,MaxClicksItems,Distinct_Items,Session_Time,MaxTimeBtwClicks,AvgTimeBtwClicks
63,380,2,4.0,2.0,3.0,2.0,0,1,2,1.11981666667,1.11981666667,1.11981666667
64,385,1,4.0,5.0,6.0,2.0,0,1,1,0.0,,
65,390,16,4.0,2.6875,3.6875,2.0,0,16,1,172.86955,20.4070833333,11.5246366667
66,395,7,4.0,3.0,4.0,2.0,0,7,1,19.3975666667,7.27428333333,3.23292777778
67,400,2,4.0,1.0,2.0,3.0,0,2,1,0.0299,0.0299,0.0299
68,405,1,4.0,6.0,7.0,2.0,0,1,1,0.0,,
69,410,7,4.0,6.0,7.0,3.0,0,1,7,2.60471666667,1.44085,0.434119444444
70,415,2,4.0,4.0,5.0,2.0,0,2,1,0.237883333333,0.237883333333,0.237883333333
71,420,2,4.0,5.0,6.0,4.0,0,1,2,1.10698333333,1.10698333333,1.10698333333
72,425,3,4.0,2.0,3.0,3.0,0,2,2,1.2216,0.644583333333,0.6108
73,430,4,4.0,7.0,1.0,2.0,0,2,3,6.51515,5.2573,2.17171666667
74,435,3,4.0,7.0,1.0,2.0,0,3,1,6.04055,5.73295,3.020275
75,440,3,4.0,6.0,7.0,4.0,0,1,3,1.45468333333,0.844183333333,0.727341666667
76,445,2,4.0,1.0,2.0,1.0,0,1,2,0.977883333333,0.977883333333,0.977883333333
77,450,2,4.0,6.0,7.0,3.0,0,1,2,1.92905,1.92905,1.92905
78,455,11,4.0,1.0,2.0,3.0,0,2,9,8.71598333333,3.23091666667,0.871598333333
79,460,2,4.0,7.0,1.0,4.0,0,1,2,0.787566666667,0.787566666667,0.787566666667
80,465,3,4.0,6.0,7.0,2.0,0,1,3,2.68541666667,2.10548333333,1.34270833333
81,470,3,4.0,3.0,4.0,4.0,0,2,2,4.40908333333,3.6473,2.20454166667
82,475,2,4.0,4.0,5.0,3.0,0,1,2,1.70473333333,1.70473333333,1.70473333333
